date,sector,ticker,name,close,change_pct,volume
2024-01-02,新能源,300750,宁德时代,182.50,3.20,158000000
2024-01-02,新能源,002594,比亚迪,194.10,2.85,122000000
2024-01-02,半导体,688981,中芯国际,48.30,1.40,88000000
2024-01-02,半导体,603986,兆易创新,109.80,2.60,76000000
2024-01-02,消费,600519,贵州茅台,1682.00,-0.30,56000000
2024-01-02,消费,000858,五粮液,160.20,0.80,61000000
2024-01-02,医药,600276,恒瑞医药,44.10,1.10,73000000
2024-01-02,医药,300760,迈瑞医疗,287.90,2.20,42000000
2024-01-02,人工智能,002230,科大讯飞,51.20,4.10,99000000
2024-01-02,人工智能,300033,同花顺,148.50,3.50,87000000
